,words,counts
0,#warriors,14888
1,#nbafinals,3350
2,game,3325
3,#cavs,2305
4,@warriors:,2121
5,#dubnation,1669
6,#gsw,1631
7,4,1592
8,#nba,1527
9,2,1281
10,lebron,1269
11,curry,1154
12,state,1144
13,golden,1132
14,5,1064
15,103,1037
16,series,1020
17,@cavs,987
18,win,922
19,james,920
20,&amp;,903
21,@letsgowarriors:,859
22,@nbamemes:,808
23,nba,807
24,finals,803
25,-82,770
26,cleveland,747
27,right,702
28,warriors,698
29,3,669
