,words,counts
0,#nbafinals2015,19668
1,game,3734
2,ko,2144
3,warriors,1836
4,lebron,1750
5,hindi,1598
6,@alyssavaldez2:,1551
7,#nbafinals,1412
8,2,1341
9,like,1170
10,para,1147
11,cavs,1138
12,#dubnation,1121
13,go,1111
14,win,1105
15,yung,1067
16,ramdam,1061
17,kaba,1060
18,kahit,1059
19,napapanuod,1058
20,'yung,1058
21,@warriors,920
22,series,863
23,#warriors,856
24,games,826
25,finals,782
26,curry,773
27,#gsw,762
28,tonight,712
29,next,695
